Beskatningstype;ISIN
;IE00BLP53M98
;IE00BLLZQ805
;IE00BLLZQS08
;DK0061295870
;DK0061296175
;DK0060571362
;DK0060571289
;DK0061029808
;DK0061271426
;DK0061271699
;DK0060293538
;DK0061151362
;DK0060978716
;IE00B4K48X80
;DK0061295870
;DK0061296175
;DK0060571362
;DK0060571289
;DK0061029808
;DK0061271426
;DK0061271699
;DK0060293538
;DK0061151362
;DK0060978716
;DK0060057644
;DK0015945166
;DK0060655702
;DK0060287217
;DK0010312529
;DK0061136058
;DK0060244242
;DK0010270503
;DK0010264530
;DK0010266238
;DK0015942650
;DK0016105380
;DK0016290265
;DK0060058618
;DK0016253651
;DK0060046019
;DK0010252956
;DK0010207141
;DK0015966758
;DK0015989610
;DK0060448918
;DK0060187771
;DK0016248222
;DK0010263052
;DK0016255193
;DK0016075294
;DK0015971675
;DK0010295336
;DK0060010841
;DK0060010924
;DK0016209323
;DK0060080380
;DK0060042026
;DK0015710602
;DK0010257914
;DK0010245901
;DK0016290349
;DK0010257757
;IE00BFYN8Y92
;DK0060854313
;DK0060854586
;DK0060854230
;DK0060949378
;DK0061068624
;DK0061146529
;DK0060269157
;DK0060498269
;DK0060337335
;DK0016108640
;DK0060502631
;DK0060632925
;DK0060455962
;DK0060182897
;DK0060498343
;DK0010237809
;DK0060498186
;IE00BHZRQY00
;IE00BHZRR147
;IE00BHZRQZ17
;IE00BHZRR030
;IE00BHZRR253
;IE00BMDPBZ72
;IE00BMDPBY65
;DK0016272602
;DK0060521854
;IE00BLR6QB00
;IE00BLR6Q544
;DK0061133899
;IE00BDDRF924
;IE00BDDRF700
;IE00BMFNW783
;IE00BNTVVW33
;IE00BJQTJ848
;IE00BMFNWC33
;DK0010232768
;DK0060774552
;DK0015994453
;DK0060774636
;DK0061294394
;IE00BGBN6P67
;DK0061272077
;DK0060518983
;DK0061112034
;IE00BF4G7183
;IE00BF4G6Z54
;IE00BF4G6Y48
;IE00BF4G7076
;LU1781541252
;LU1781541179
;LU0908500753
;FR0010361683
;FR0010524777
;LU1563454823
;LU1841731745
;LU2023678878
;LU2023678282
;LU0635178014
;LU2023679090
;LU2023678449
;LU1923627092
;LU2023679256
;LU1829221024
;LU0832436512
;LU1781540957
;DK0060005171
;DK0060522316
;DK0060157196
;DK0060004950
;DK0061281060
;DK0060642809
;DK0060037455
;DK0060442713
;DK0060005338
;DK0060642726
;DK0060005254
;LU1829219127
;DK0060447357
;DK0060316685
;DK0060316768
;DK0060254126
;DK0010250158
;DK0016195944
;DK0016196082
;DK0060075893
;DK0060012466
;DK0060586394
;DK0010308170
;DK0015960983
;DK0016306798
;DK0010265693
;DK0060949881
;DK0016050974
;DK0010301324
;DK0060192185
;DK0015974695
;DK0060831451
;DK0060014595
;DK0060048304
;DK0016188816
;DK0060361046
;DK0010297118
;DK0060034270
;DK0060231777
;DK0060360824
;DK0060009405
;IE00BJXRZJ40
;IE00BLRPQJ54
;IE00BLRPRR04
;IE00BJXRZ273
;IE00BLRPQH31
;DK0010273796
;DK0060059186
;DK0016283484
;DK0016283997
;NO0010140502
;NO0010657356
;DK0060819324
;DK0060748044
;DK0060747905
;DK0060748200
;DK0010297464
;DK0060300762
;DK0010297548
;DK0010297621
;DK0010297704
;DK0060748127
;DK0060031847
;DK0060747822
;DK0010297977
;DK0010298199
;DK0060442556
;DK0060057487
;DK0010298272
;DK0010298355
;DK0010298439
;DK0010068006
;DK0060105203
;DK0060105393
;DK0060623346
;DK0060623262
;DK0060012896
;DK0016030786
;LU0650088072
;LU0362354549
;LU0362355355
;LU0138501191
;LU0139792278
;LU0139791205
;LU1735613934
;DK0010304856
;DK0010014778
;LU1735614239
;LU0264925727
;DK0060188662
;IE00BG5J1M21
;DK0010246396
;DK0061067220
;DK0016111511
;DK0060660462
;DE000A2N7NJ6
;DE000A2PUQR0
;DE000A2PQ364
;IE00BLPK3577
;DE000A14ND04
;DE000A2AHL91
;DE000A2AHL75
;DE000A2AGPX1
;IE00BGV5VN51
;LU0274211480
;LU0380865021
;LU0838780707
;LU0292109856
;LU0322252924
;IE00BGV5VR99
;LU0290355717
;LU0322250712
;LU0322252171
;IE00BGHQ0G80
;LU0592217524
;LU0292109344
;LU0514695690
;IE00BG370F43
;LU0292107645
;IE00BFMNHK08
;LU0292103651
;LU0322253906
;LU0274209237
;LU0476289623
;IE00BG36TC12
;LU0292100046
;IE00B9MRHC27
;LU0322252502
;IE00BFMNPS42
;LU0274210672
;IE00BM67HN09
;IE00BZ02LR44
;IE00BM67HM91
;IE00BM67HK77
;IE00BM67HT60
;IE00BM67HS53
;LU0274208692
;IE00BJ0KDQ92
;IE00BL25JM42
;LU0839027447
;LU0490618542
;LU0322253229
;LU0328475792
;IE00BYZK4669
;IE00BYZK4552
;IE0005042456
;IE00BKM4GZ66
;IE00B4L5YX21
;IE00B52MJY50
;IE00B4L5Y983
;IE00B5BMR087
;IE0031442068
;DE0005933931
;IE00BG0J4C88
;IE00BYZK4883
;IE00B86MWN23
;IE00B8FHGS14
;IE00B6SPMN59
;IE00BGL86Z12
;IE00B1XNHC34
;IE00B7J7TB45
;IE00B1TXK627
;IE00BYZK4776
;IE00BJ5JPG56
;IE00BKM4H312
;IE00BYX2JD69
;IE00BF4RFH31
